City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
436,Hazaribag,IN,83.08,clear sky,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
438,Villarrica,PY,82.85,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
441,San Rafael,AR,73.49,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
442,Lethem,GY,77.83,moderate rain,3.3803,-59.7968,Savannah Inn
443,Adolfo Lopez Mateos,MX,69.93,overcast clouds,28.4667,-107.3,Hotel Victor Inn
448,Asmar,AF,74.66,clear sky,35.0333,71.3581,
452,Kenora,CA,81.57,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
454,Mahibadhoo,MV,83.17,overcast clouds,3.7833,72.9667,Omadhoo Inn
455,Souillac,MU,74.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
457,Bensonville,LR,81.95,light rain,6.4461,-10.6125,Moinga
459,Davila,PH,82.36,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
460,Teterow,DE,65.48,overcast clouds,53.7833,12.5667,Gästehaus Schiemann
463,Groningen,NL,67.26,broken clouds,53.25,6.75,Bed&Breakfast Lageland
464,Kendari,ID,74.44,moderate rain,-3.945,122.4989,Hotel Wixel
465,Eruwa,NG,84.49,light rain,7.5333,3.4167,Yinka Hostel
467,Sauda,NO,69.67,few clouds,59.6506,6.3542,Klover Hotel
468,Bull Savanna,JM,81.36,scattered clouds,17.8868,-77.5902,Big Red's
470,Merauke,ID,77.11,overcast clouds,-8.4667,140.3333,
471,Natchitoches,US,83.59,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
472,Hualmay,PE,68.74,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
475,Hingatungan,PH,80.11,overcast clouds,10.584,125.1852,
476,Myitkyina,MM,73.96,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
477,Lompoc,US,84.02,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
478,Pisco,PE,68.05,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
479,San Ramon De La Nueva Oran,AR,81.43,few clouds,-23.1322,-64.326,Hotel Residencial Centro
480,Casillas,GT,76.42,broken clouds,14.4222,-90.2442,Finca Los Jumayes
