City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
242,Miri,MY,2021-06-03 19:41:07,4.4148,114.0089,80.74,94,20,4.61,few clouds
243,Maragogi,BR,2021-06-03 19:41:07,-9.0122,-35.2225,77.2,82,9,6.55,clear sky
244,Boueni,YT,2021-06-03 19:41:07,-12.9025,45.0761,76.98,72,26,3.4,scattered clouds
245,Namibe,AO,2021-06-03 19:41:08,-15.1961,12.1522,70.83,86,29,7.67,scattered clouds
246,Barranca,PE,2021-06-03 19:41:08,-10.75,-77.7667,68.56,70,69,9.57,broken clouds
247,Canaway,PH,2021-06-03 19:41:09,13.3185,123.7131,77.83,88,96,3.71,overcast clouds
248,Wismar,DE,2021-06-03 19:41:09,53.9,11.4667,65.79,95,100,4.68,light rain
249,Murgab,TM,2021-06-03 19:41:09,37.4966,61.9714,87.67,37,0,10.22,clear sky
250,Port Lincoln,AU,2021-06-03 19:41:09,-34.7333,135.8667,58.03,78,43,11.72,scattered clouds
251,Bud,US,2021-06-03 19:41:10,39.447,-86.1758,77.2,76,100,5.32,overcast clouds
252,Nueva Guinea,NI,2021-06-03 19:41:10,11.6876,-84.4562,87.93,51,76,13.11,broken clouds
253,Tarrega,ES,2021-06-03 19:41:11,41.647,1.1396,69.64,79,2,8.01,clear sky
254,Mae Hong Son,TH,2021-06-03 19:41:11,19.3003,97.9685,77.25,79,99,1.61,overcast clouds
255,Fredericksburg,US,2021-06-03 19:37:21,38.3032,-77.4605,86.11,63,40,5.99,scattered clouds
256,Jasper,US,2021-06-03 19:41:11,37.2001,-94.3502,82.02,45,20,1.01,few clouds
257,Havre,FR,2021-06-03 19:41:12,49.5833,0.3333,57.2,82,90,9.22,overcast clouds
258,North Platte,US,2021-06-03 19:40:10,41.1239,-100.7654,86.02,30,1,3.0,clear sky
259,Nakhon Thai,TH,2021-06-03 19:41:12,17.1006,100.8374,77.79,91,100,1.25,overcast clouds
260,Mareeba,AU,2021-06-03 19:37:41,-17.0,145.4333,60.44,96,50,1.99,scattered clouds
261,Le Port,RE,2021-06-03 19:41:14,-20.9373,55.2919,73.36,83,19,10.85,few clouds
